gene_symbol,occurrence,studies
EBLN1,1,Huerta.sanchez2013
nucleoprotein,1,Huerta.sanchez2013
VPS36,1,Huerta.sanchez2013
homolog,1,Huerta.sanchez2013
CKAP2,1,Huerta.sanchez2013
receptor,1,Huerta.sanchez2013
THSD1,1,Huerta.sanchez2013
SREK1IP1,1,Huerta.sanchez2013
SLC35C1,1,Huerta.sanchez2013
C1,1,Huerta.sanchez2013
LYPLA1,1,Huerta.sanchez2013
PCYOX1,1,Huerta.sanchez2013
C2orf42,1,Huerta.sanchez2013
GATSL2,1,Huerta.sanchez2013
IL29,1,Huerta.sanchez2013
KRTCAP3,1,Huerta.sanchez2013
ISL1,1,Huerta.sanchez2013
LRFN1,1,Huerta.sanchez2013
PCBP1,1,Huerta.sanchez2013
NEK5,1,Huerta.sanchez2013
LRRC66,1,Huerta.sanchez2013
SGCB,1,Huerta.sanchez2013
C8orf22,1,Huerta.sanchez2013
LARP1B,1,Huerta.sanchez2013
ZCCHC6,1,Huerta.sanchez2013
RASSF6,1,Huerta.sanchez2013
ELP3,1,Huerta.sanchez2013
POP7,1,Huerta.sanchez2013
ACTL6B,1,Huerta.sanchez2013
ISCA1,1,Huerta.sanchez2013
GNB2,1,Huerta.sanchez2013
GIGYF1,1,Huerta.sanchez2013
SSPN,1,Huerta.sanchez2013
ACSL6,1,Huerta.sanchez2013hypoxgeneset
CRYAA,1,Huerta.sanchez2013hypoxgeneset
PLD2,1,Huerta.sanchez2013hypoxgeneset
SDC2,1,Huerta.sanchez2013hypoxgeneset
TLR4,1,Huerta.sanchez2013hypoxgeneset
ABCC12,1,Udpa204
AKAP4,1,Udpa204
ARSE,1,Udpa204
ARSH,1,Udpa204
ATP11C,1,Udpa204
CDKL5,1,Udpa204
CHRDL1,1,Udpa204
PRR19,1,Udpa204
TMEM145,1,Udpa204
MEGF8,1,Udpa204
CNFN,1,Udpa204
CXCL17,1,Udpa204
COMMD3,1,Udpa204
BMI1,1,Udpa204
DKFZp686D0853,1,Udpa204
FAM59B,1,Udpa204
HADHA,1,Udpa204
FRYL,1,Udpa204
GPM6A,1,Udpa204
HDAC1,1,Udpa204
MARCKSL1,1,Udpa204
IL1RAPL1,1,Udpa204
KCTD16,1,Udpa204
KIAA1210,1,Udpa204
PGRMC1,1,Udpa204
MAN1C1,1,Udpa204
MID1,1,Udpa204
MIR505,1,Udpa204
NHS,1,Udpa204
ODZ1,1,Udpa204
FAM54A,1,Udpa204
CTXN2,1,Udpa204
SLC12A1,1,Udpa204
SSX6,1,Udpa204
SPACA5,1,Udpa204
SPACA5B,1,Udpa204
PRMT10,1,Udpa204
TRPC5,1,Udpa204
LOC100329135,1,Udpa204
ZNF675,1,Udpa204
ZNF681,1,Udpa204
ABCA17P,1,Udpa204
CCNF,1,Udpa204
C16orf59,1,Udpa204
NTN3,1,Udpa204
TBC1D24,1,Udpa204
C17orf63,1,Udpa204
C2orf86,1,Udpa204
HADHB,1,Udpa204
FKBP9,1,Udpa204
NT5C3,1,Udpa204
GBP6,1,Udpa204
LOC400759,1,Udpa204
HMGXB4,1,Udpa204
INPP5A,1,Udpa204
KIAA0125,1,Udpa204
LANCL2,1,Udpa204
LOC100288974,1,Udpa204
LOC440300,1,Udpa204
LRCH1,1,Udpa204
MIR3134,1,Udpa204
ESPNP,1,Udpa204
MST1P9,1,Udpa204
NCRNA00204,1,Udpa204
NCRNA00204B,1,Udpa204
CTAG2,1,Udpa204
GAB3,1,Udpa204
SEMA3G,1,Udpa204
TNNC1,1,Udpa204
NISCH,1,Udpa204
STAB1,1,Udpa204
STARD7,1,Udpa204
FAM25C,1,Udpa204
FAM25G,1,Udpa204
FAM25B,1,Udpa204
ABCA3,1,Udpa204
CCNYL1,1,Udpa204
FZD5,1,Udpa204
CD99,1,Udpa204
XG,1,Udpa204
XGPY2,1,Udpa204
CPXCR1,1,Udpa204
DDX19B,1,Udpa204
ENPP3,1,Udpa204
OR2A4,1,Udpa204
CTAGE9,1,Udpa204
FGFR3,1,Udpa204
LETM1,1,Udpa204
HADH,1,Udpa204
HCG2P7,1,Udpa204
HCG4P6,1,Udpa204
IFNA22P,1,Udpa204
IFNA5,1,Udpa204
KLHL9,1,Udpa204
IFNA6,1,Udpa204
IFNA4,1,Udpa204
IFNA7,1,Udpa204
IFNA10,1,Udpa204
IFNA16,1,Udpa204
IFNA17,1,Udpa204
IFNA14,1,Udpa204
IKZF3,1,Udpa204
ZPBP2,1,Udpa204
RPS26,1,Udpa204
LOC100129138,1,Udpa204
MRPL46,1,Udpa204
MRPS11,1,Udpa204
OR5D13,1,Udpa204
OR5D14,1,Udpa204
PHACTR2,1,Udpa204
LTV1,1,Udpa204
C6orf94,1,Udpa204
PLEKHG4B,1,Udpa204
POF1B,1,Udpa204
PRSS41,1,Udpa204
PRSS21,1,Udpa204
PRSS30P,1,Udpa204
RIMKLB,1,Udpa204
15-Sep,1,Udpa204
HS2ST1,1,Udpa204
SLC2A13,1,Udpa204
TLR5,1,Udpa204
UPRT,1,Udpa204
COX6C,1,Udpa204
BICC1,1,Udpa204
IL1RAPL2,1,Udpa204
SDCCAG1,1,Udpa204
LHFPL1,1,Udpa204
LRIG3,1,Udpa204
MEIS3P1,1,Udpa204
MIR548M,1,Udpa204
TMEM5,1,Udpa204
SRGAP1,1,Udpa204
SILV,1,Udpa204
WWC2,1,Udpa204
AHDC1,1,Udpa204
BMP15,1,Udpa204
C3orf21,1,Udpa204
C6orf52,1,Udpa204
PAK1IP1,1,Udpa204
TMEM14C,1,Udpa204
GSK3A,1,Udpa204
ERF,1,Udpa204
LOC100128071,1,Udpa204
TSSK3,1,Udpa204
LCE1B,1,Udpa204
LCE1A,1,Udpa204
LCE6A,1,Udpa204
SMCP,1,Udpa204
RAB43,1,Udpa204
ISY1,1,Udpa204
SASH3,1,Udpa204
SLC9A6,1,Udpa204
VWCE,1,Udpa204
ZNF574,1,Udpa204
POU2F2,1,Udpa204
MIR4323,1,Udpa204
DEDD2,1,Udpa204
CLEC18A,1,Udpa204
PDXDC2P,1,Udpa204
FAM190A,1,Udpa204
IFT57,1,Udpa204
PABPC1L2B,1,Udpa204
TMEM135,1,Udpa204
ADAM5P,1,Udpa204
ADAM3A,1,Udpa204
BRF1,1,Udpa204
C14orf33,1,Udpa204
KTN1,1,Udpa204
C1orf185,1,Udpa204
C21orf29,1,Udpa204
CDK5RAP2,1,Udpa204
CDRT1,1,Udpa204
TRIM16,1,Udpa204
CLCN5,1,Udpa204
MIR532,1,Udpa204
MIR188,1,Udpa204
MIR500A,1,Udpa204
MIR362,1,Udpa204
MIR501,1,Udpa204
MIR500B,1,Udpa204
MIR660,1,Udpa204
MIR502,1,Udpa204
CXorf36,1,Udpa204
CXorf59,1,Udpa204
DMTF1,1,Udpa204
EXOSC6,1,Udpa204
AARS,1,Udpa204
FBN1,1,Udpa204
FMR1NB,1,Udpa204
GPR112,1,Udpa204
HCN4,1,Udpa204
MIR1298,1,Udpa204
IQSEC2,1,Udpa204
KIAA1324L,1,Udpa204
KLHL13,1,Udpa204
LOC100272228,1,Udpa204
NCAM2,1,Udpa204
NCRNA00182,1,Udpa204
MIR545,1,Udpa204
MIR374A,1,Udpa204
ZCCHC13,1,Udpa204
NHSL2,1,Udpa204
NRXN3,1,Udpa204
OR13H1,1,Udpa204
OR2T29,1,Udpa204
OR2T34,1,Udpa204
LOC647310,1,Udpa204
RNLS,1,Udpa204
SPANXN1,1,Udpa204
SUZ12,1,Udpa204
TMOD1,1,Udpa204
TSTD2,1,Udpa204
NCBP1,1,Udpa204
XPA,1,Udpa204
TMPRSS11F,1,Udpa204
SYT14L,1,Udpa204
TPTE2P3,1,Udpa204
UBAP2,1,Udpa204
SNORD121A,1,Udpa204
UBE2R2,1,Udpa204
SNORD121B,1,Udpa204
UBE2W,1,Udpa204
ULK2,1,Udpa204
VCX,1,Udpa204
LOC100131726,1,Udpa204
WDR89,1,Udpa204
ZBTB8B,1,Udpa204
CN5H6.4,1,Udpa204
MIR421,1,Udpa204
MIR374B,1,Udpa204
MIR374C,1,Udpa204
MGA,1,Udpa204
MIR626,1,Udpa204
TEX13A,1,Udpa204
EEFSEC,1,Udpa204
CASK,1,Udpa204
GPR34,1,Udpa204
GPR82,1,Udpa204
APBA2,1,Udpa204
HLA-DMB,1,Artigas2015
MIR487A,1,Artigas2015
RP11-538P18.2,1,Artigas2015
AIG1,1,Artigas2015
CDK14,1,Artigas2015
CSMD2,1,Artigas2015
DENND2D,1,Artigas2015
DNM1P46,1,Artigas2015
DOK6,1,Artigas2015
DROSHA,1,Artigas2015
EPHA3,1,Artigas2015
FBXL19-AS1,1,Artigas2015
GLIS2,1,Artigas2015
GRPR,1,Artigas2015
LHX3,1,Artigas2015
LTBP2,1,Artigas2015
LTBP4,1,Artigas2015
MN1,1,Artigas2015
MSH6,1,Artigas2015
NPNT,1,Artigas2015
RIN3,1,Artigas2015
SEMA3D,1,Artigas2015
SMTN,1,Artigas2015
SV2A,1,Artigas2015
TRIP11,1,Artigas2015
WNK1,1,Artigas2015
AP1S2,1,Artigas2015
C3orf58,1,Artigas2015
CCDC91,1,Artigas2015
CDC7,1,Artigas2015
CPEB2-AS1,1,Artigas2015
CPOX,1,Artigas2015
CRSP8P,1,Artigas2015
CWC22,1,Artigas2015
dist=70770,1,Artigas2015
IZUMO3,1,Artigas2015
KCNK12,1,Artigas2015
LINC00472,1,Artigas2015
LINC01080,1,Artigas2015
LINC01085,1,Artigas2015
LOC100294145,1,Artigas2015
LOC101927709,1,Artigas2015
LOC102467213,1,Artigas2015
LOC286189,1,Artigas2015
LYPLAL1,1,Artigas2015
MIAT,1,Artigas2015
MIR381HG,1,Artigas2015
NDFIP2,1,Artigas2015
NEIL3,1,Artigas2015
NT5C1B-RDH14,1,Artigas2015
PTHLH,1,Artigas2015
RAB9BP1,1,Artigas2015
RNU5F-1,1,Artigas2015
SCHLAP1,1,Artigas2015
ST3GAL6-AS1,1,Artigas2015
TBX3,1,Artigas2015
TFAP4,1,Artigas2015
TUSC1,1,Artigas2015
ADAM19,1,Artigas2015
AK097794,1,Artigas2015
C1orf56,1,Artigas2015
FAM13A,1,Artigas2015
GSTCD,1,Artigas2015
INTS12,1,Artigas2015
RAB4B,1,Artigas2015
RP11-440G9.1,1,Artigas2015
RSRC1,1,Artigas2015
SPATA9,1,Artigas2015
 RNU5F-1,1,Artigas2015
 KCNS3,1,Artigas2015
 AK097794,1,Artigas2015
 ASTN2,1,Artigas2015
 LHX3,1,Artigas2015
 CCDC91,1,Artigas2015
 TBX3,1,Artigas2015
 TRIP11,1,Artigas2015
 RIN3,1,Artigas2015
 TEKT5,1,Artigas2015
 LTBP4,1,Artigas2015
 MN1,1,Artigas2015
ADGRG6,1,Artigas2015
PTTG3P ,1,Stobdan.2017
C8orf44 ,1,Stobdan.2017
SGK3 ,1,Stobdan.2017
C8orf44-SGK3 ,1,Stobdan.2017
VCPIP1 ,1,Stobdan.2017
PPP1R42 ,1,Stobdan.2017
CSPP1 ,1,Stobdan.2017
COPS5 ,1,Stobdan.2017
TCF24 ,1,Stobdan.2017
SNHG6 ,1,Stobdan.2017
MCMDC2 ,1,Stobdan.2017
SNORD87 ,1,Stobdan.2017
ANTXRL ,1,Stobdan.2017
ANTXRLP1 ,1,Stobdan.2017
PRDM1 ,1,Stobdan.2017
COL21A1 ,1,Stobdan.2017
MBD4 ,1,Stobdan.2017
IFT122 ,1,Stobdan.2017
EFCAB12 ,1,Stobdan.2017
RPL32P3 ,1,Stobdan.2017
SNORA7B ,1,Stobdan.2017
ZNF492 ,1,Stobdan.2017
ZNF99 ,1,Stobdan.2017
ZNF723P ,1,Stobdan.2017
OR8S1 ,1,Stobdan.2017
C12orf54 ,1,Stobdan.2017
ANP32D ,1,Stobdan.2017
ZNF641 ,1,Stobdan.2017
MIR6505 ,1,Stobdan.2017
ASB8 ,1,Stobdan.2017
SENP1 ,1,Stobdan.2017
PFKM ,1,Stobdan.2017
COL2A1 ,1,Stobdan.2017
CCDC184 ,1,Stobdan.2017
RPS24 ,1,Stobdan.2017
POLR3A ,1,Stobdan.2017
CNTLN ,1,Stobdan.2017
MC2R ,1,Stobdan.2017
SHARP ,1,O.Brien2019
FAM5C,1,O.Brien2019
ALDOAP2,1,Arciero2018
TEX36,1,Arciero2018
C074117.13,1,Arciero2018
IFT172,1,Arciero2018
COL11A2P1,1,Arciero2018
HLA-DPB2,1,Arciero2018
DENND4C,1,Arciero2018
EMCN,1,Arciero2018
FILIP1,1,Arciero2018
GMCL1P1,1,Arciero2018
HLA-DPA2,1,Arciero2018
Intergenic,1,Arciero2018
MCMDC2,1,Arciero2018
MIR3681HG,1,Arciero2018
SNORD18,1,Arciero2018
MIR4519,1,Arciero2018
MIR762HG,1,Arciero2018
AC106782.20,1,Arciero2018
NPSR1,1,Arciero2018
PPM1B,1,Arciero2018
PRR13P5,1,Arciero2018
RNA5SP485,1,Arciero2018
WFDC8,1,Arciero2018
RP11-624L4.1,1,Arciero2018
SEMA3A,1,Arciero2018
TSNAX-DISC1,1,Arciero2018
VWA8,1,Arciero2018
ASIC2,1,Arciero2018
BAZ2B,1,Arciero2018
BLOC1S5-TXNDC5,1,Arciero2018
CETP,1,Arciero2018
CTD-2509G16.1,1,Arciero2018
CYFIP1,1,Arciero2018
DEF8,1,Arciero2018
HGNC,1,Arciero2018
IRAK4,1,Arciero2018
ITGA10,1,Arciero2018
KIAA1841,1,Arciero2018
LGR4,1,Arciero2018
LINC00582,1,Arciero2018
RAD51B,1,Arciero2018
RCAN1,1,Arciero2018
RP11-118B18.1,1,Arciero2018
RP11-6N13.1,1,Arciero2018
RP4-601P9.2,1,Arciero2018
SETX,1,Arciero2018
SP110,1,Arciero2018
SPRTN,1,Arciero2018
THRA,1,Arciero2018
TSC22D2,1,Arciero2018
VPS9D1,1,Arciero2018
WNT2,1,Arciero2018
ZNF615,1,Arciero2018
ZNF783,1,Arciero2018
ZNF804B,1,Arciero2018
ABCC11,1,Arciero2018
ABHD2,1,Arciero2018
AC011933.2,1,Arciero2018
RP11-16C1.3,1,Arciero2018
AC132192.1,1,Arciero2018
CTD-2371O3.2,1,Arciero2018
IPO7,1,Arciero2018
SNORA23,1,Arciero2018
ADAMTS16,1,Arciero2018
AP001597.1,1,Arciero2018
CYYR1,1,Arciero2018
BAIAP2,1,Arciero2018
RXRB,1,Arciero2018
CTD-2371O3.3.,1,Arciero2018
CTD-2600H12.2,1,Arciero2018
LONP2,1,Arciero2018
DHRS3,1,Arciero2018
DNAJC28,1,Arciero2018
GALNT14,1,Arciero2018
MYZAP,1,Arciero2018
COL11A2P,1,Arciero2018
HOXA9,1,Arciero2018
HOXA7,1,Arciero2018
RP1-170O19.24,1,Arciero2018
HOXA10-HOXA9,1,Arciero2018
KAT6B,1,Arciero2018
RP11-77G23.2,1,Arciero2018
MYST4,1,Arciero2018
RP11-77G23.5,1,Arciero2018
LINC01104,1,Arciero2018
METTL16,1,Arciero2018
NAV3,1,Arciero2018
OR8S1,1,Arciero2018
RING1,1,Arciero2018
HSD17B8,1,Arciero2018
MIR219A1,1,Arciero2018
SLC39A7,1,Arciero2018
RP11-398E10.1,1,Arciero2018
RP11-442N1.1,1,Arciero2018
RP11-667K14.13,1,Arciero2018
RP11-667K14.5,1,Arciero2018
SMG6,1,Arciero2018
ST5,1,Arciero2018
RP11-318C2.1,1,Arciero2018
ZNF512B,1,Arciero2018
AC002454.1,1,Arciero2018
AC016575.1,1,Arciero2018
AC016768.1,1,Arciero2018
AC074391.1,1,Arciero2018
AC092155.4,1,Arciero2018
ACTR2,1,Arciero2018
ADAMTS13,1,Arciero2018
ADK,1,Arciero2018
AL050335.1,1,Arciero2018
ARGFX,1,Arciero2018
BHLHE40-AS1,1,Arciero2018
C1orf61,1,Arciero2018
C1QTNF7,1,Arciero2018
CACNA2D3,1,Arciero2018
CASC16,1,Arciero2018
COL12A1,1,Arciero2018
COL27A1,1,Arciero2018
CR1,1,Arciero2018
CRYZL1,1,Arciero2018
CTC-471F3.4,1,Arciero2018
DCDC2C,1,Arciero2018
DUSP5P1,1,Arciero2018
EBAG9,1,Arciero2018
EPS15L1,1,Arciero2018
FAM214B,1,Arciero2018
FUT6,1,Arciero2018
GRIK3,1,Arciero2018
GS1-57L11.1,1,Arciero2018
GSAP,1,Arciero2018
HOXA5,1,Arciero2018
HS3ST5,1,Arciero2018
IFNGR2,1,Arciero2018
JADE2,1,Arciero2018
KIAA0825,1,Arciero2018
KLHL29,1,Arciero2018
LILRA3,1,Arciero2018
LINC00390,1,Arciero2018
LINC00840,1,Arciero2018
LINC01060,1,Arciero2018
LINC01115,1,Arciero2018
LINC01118,1,Arciero2018
LPGAT1,1,Arciero2018
LPPR4,1,Arciero2018
LSAMP,1,Arciero2018
MIR219-1,1,Arciero2018
MLLT3,1,Arciero2018
MXRA7,1,Arciero2018
NPSR1-AS1,1,Arciero2018
PES1,1,Arciero2018
PRKAR1A,1,Arciero2018
PRKAR1B,1,Arciero2018
PYGL,1,Arciero2018
RB1,1,Arciero2018
RCBTB2,1,Arciero2018
RHBDD1,1,Arciero2018
RIT2,1,Arciero2018
RLBP1,1,Arciero2018
RP11-111J6.2,1,Arciero2018
RP11-120M18.2,1,Arciero2018
RP11-146N18.1,1,Arciero2018
RP11-28O3.2,1,Arciero2018
RP11-314P15.2,1,Arciero2018
RP11-358H9.1,1,Arciero2018
RP11-384F7.2,1,Arciero2018
AC068633.1,1,Arciero2018
RP11-421P23.2,1,Arciero2018
RP11-463O9.6,1,Arciero2018
RP11-511B23.2,1,Arciero2018
RP11-58A18.1,1,Arciero2018
RP11-69C13.1,1,Arciero2018
RP11-813I20.2,1,Arciero2018
SERBP1P3,1,Arciero2018
SFMBT1,1,Arciero2018
SLC7A14,1,Arciero2018
SNORA40,1,Arciero2018
SOX18,1,Arciero2018
SPRED2,1,Arciero2018
SSBP3,1,Arciero2018
TCF7L2,1,Arciero2018
TMC6,1,Arciero2018
TMEM176B,1,Arciero2018
TMTC1,1,Arciero2018
TTC7A,1,Arciero2018
U3,1,Arciero2018
U91319.1,1,Arciero2018
WDR46,1,Arciero2018
WWTR1,1,Arciero2018
ZBTB16,1,Arciero2018
ZNF320,1,Arciero2018
AC007319.1,1,Arciero2018
AC007423.1,1,Arciero2018
AC007780.1,1,Arciero2018
AC009108.2,1,Arciero2018
AC009154.1,1,Arciero2018
AC010745.2,1,Arciero2018
AC013652.1,1,Arciero2018
AC015908.2,1,Arciero2018
AC016722.3,1,Arciero2018
AC018682.2,1,Arciero2018
AC020604.1,1,Arciero2018
AC022182.1,1,Arciero2018
AC022706.1,1,Arciero2018
AC060809.1,1,Arciero2018
AC079296.1,1,Arciero2018
AC106798.1,1,Arciero2018
AC108142.1,1,Arciero2018
AC246817.2,1,Arciero2018
ACP4,1,Arciero2018
ADGRL2,1,Arciero2018
ADGRV1,1,Arciero2018
AJ009632.2,1,Arciero2018
AKAP1,1,Arciero2018
AL109838.1,1,Arciero2018
AL118523.1,1,Arciero2018
AL121761.1,1,Arciero2018
AL135938.1,1,Arciero2018
AL158212.3,1,Arciero2018
AL163952.1,1,Arciero2018
AL355773.1,1,Arciero2018
AL671883.1,1,Arciero2018
ALPK1,1,Arciero2018
AP001995.1,1,Arciero2018
AP003390.1,1,Arciero2018
AP006219.1,1,Arciero2018
ARHGAP22,1,Arciero2018
ARPC1A,1,Arciero2018
ATP8A1,1,Arciero2018
B4GALT1,1,Arciero2018
BANK1,1,Arciero2018
BDNF-AS,1,Arciero2018
BFAR,1,Arciero2018
BTBD9,1,Arciero2018
C2orf83,1,Arciero2018
C6orf89,1,Arciero2018
C7orf50,1,Arciero2018
CACNA1D,1,Arciero2018
CALN1,1,Arciero2018
CAMKMT,1,Arciero2018
CARMIL3,1,Arciero2018
CDK20,1,Arciero2018
CFAP58,1,Arciero2018
CHRNE,1,Arciero2018
COL23A1,1,Arciero2018
COLEC12,1,Arciero2018
COX7B2,1,Arciero2018
DAND5,1,Arciero2018
DCC,1,Arciero2018
DISP1,1,Arciero2018
DLGAP1,1,Arciero2018
DLGAP2,1,Arciero2018
DPYSL3,1,Arciero2018
DSG3,1,Arciero2018
EPHA4,1,Arciero2018
FAM161B,1,Arciero2018
FAM184B,1,Arciero2018
FAM69C,1,Arciero2018
FIBIN,1,Arciero2018
FOLH1B,1,Arciero2018
FOXJ2,1,Arciero2018
FSTL5,1,Arciero2018
FXYD2,1,Arciero2018
GABRB3,1,Arciero2018
GALNT2,1,Arciero2018
GOT2,1,Arciero2018
GRM3,1,Arciero2018
HLA-C,1,Arciero2018
HMGA1P7,1,Arciero2018
ITGAX,1,Arciero2018
ITK,1,Arciero2018
KCNK15-AS1,1,Arciero2018
KHDC1L,1,Arciero2018
KIAA1671,1,Arciero2018
KIR3DL2,1,Arciero2018
KREMEN1,1,Arciero2018
LHPP,1,Arciero2018
LILRB5,1,Arciero2018
LINC00114,1,Arciero2018
LINC00368,1,Arciero2018
LINC00499,1,Arciero2018
LINC01006,1,Arciero2018
LINC01119,1,Arciero2018
LINC01508,1,Arciero2018
LINC01588,1,Arciero2018
LINC01591,1,Arciero2018
LINC01701,1,Arciero2018
LINC01924,1,Arciero2018
LINC01989,1,Arciero2018
LINC02129,1,Arciero2018
LINC02226,1,Arciero2018
LINC02248,1,Arciero2018
LINC02389,1,Arciero2018
LINC02511,1,Arciero2018
LOXL4,1,Arciero2018
LPIN1,1,Arciero2018
LRP2,1,Arciero2018
MAGI2,1,Arciero2018
MALRD1,1,Arciero2018
MCM10,1,Arciero2018
MEIS2,1,Arciero2018
MMP26,1,Arciero2018
MYH15,1,Arciero2018
MYO10,1,Arciero2018
MYO18B,1,Arciero2018
MYRIP,1,Arciero2018
NSUN3,1,Arciero2018
NUMB,1,Arciero2018
OACYLP,1,Arciero2018
OGDHL,1,Arciero2018
OR2L8,1,Arciero2018
PAPLN,1,Arciero2018
PARVG,1,Arciero2018
PCDH9,1,Arciero2018
PIEZO2,1,Arciero2018
POC1B,1,Arciero2018
PPFIBP1,1,Arciero2018
PRICKLE1,1,Arciero2018
PRKCQ-AS1,1,Arciero2018
PRKN,1,Arciero2018
PTPRB,1,Arciero2018
RAB8A,1,Arciero2018
RAI1,1,Arciero2018
RASA2,1,Arciero2018
RFLNA,1,Arciero2018
RGS19,1,Arciero2018
RIPK4,1,Arciero2018
RN7SKP216,1,Arciero2018
RN7SL223P,1,Arciero2018
RNA5-8SP7,1,Arciero2018
RPS4XP19,1,Arciero2018
RYR3,1,Arciero2018
S1PR1,1,Arciero2018
SARDH,1,Arciero2018
SETBP1,1,Arciero2018
SIGLEC12,1,Arciero2018
SIRPB3P,1,Arciero2018
SLC29A4,1,Arciero2018
SLC9A3,1,Arciero2018
SNAP91,1,Arciero2018
SOX4,1,Arciero2018
SPATA31D1,1,Arciero2018
STEAP1B,1,Arciero2018
SVEP1,1,Arciero2018
TAOK3,1,Arciero2018
TFEC,1,Arciero2018
TIAM1,1,Arciero2018
TM4SF5,1,Arciero2018
TRIM9,1,Arciero2018
TRPM6,1,Arciero2018
USP10,1,Arciero2018
WSCD1,1,Arciero2018
XXYLT1,1,Arciero2018
ZNF526,1,Arciero2018
ZNF555,1,Arciero2018
ZNF845,1,Arciero2018
ZNF883,1,Arciero2018
NBPF11,1,Hu2017
ASPM,1,Hu2017
SLC5A9,1,Hu2017
PKN2,1,Hu2017
TAF3,1,Hu2017
NUTM2B,1,Hu2017
C10orf99,1,Hu2017
HOGA1,1,Hu2017
SCGB1D2,1,Hu2017
SCGB2A2,1,Hu2017
TAS2R43,1,Hu2017
IL26,1,Hu2017
CENPJ,1,Hu2017
ACOT2,1,Hu2017
ZC3H18,1,Hu2017
SERPINB7,1,Hu2017
RTTN,1,Hu2017
PPAN,1,Hu2017
PSG4,1,Hu2017
C19orf84,1,Hu2017
LPPR3,1,Hu2017
FOXD4L1,1,Hu2017
ALPP,1,Hu2017
ALPI,1,Hu2017
DOK1,1,Hu2017
PIGT,1,Hu2017
RIMBP3,1,Hu2017
HRG,1,Hu2017
RNF168,1,Hu2017
C3orf43,1,Hu2017
PTPN23,1,Hu2017
ZFP2,1,Hu2017
ROS1,1,Hu2017
NKAPL,1,Hu2017
SAP25,1,Hu2017
SCIN,1,Hu2017
WBSCR27,1,Hu2017
GNG10,1,Hu2017
CASP12,1,Hu2017
PRB4,1,Hu2017
ZFR2,1,Hu2017
IL23R,1,Hu2017
DRC1,1,Hu2017
ALCAM,1,Hu2017
TTC14,1,Hu2017
CLC,1,yulist1
COX4i1,1,yulist1
FGF10,1,Yang2017
HCAR2,1,Yang2017
Akt,1,Bigham2014diffexprgenes
ASAH2,1,Bigham2014diffexprgenes
C1GALT1C1,1,Bigham2014diffexprgenes
CAMLG,1,Bigham2014diffexprgenes
CCDC85A,1,Bigham2014diffexprgenes
CPA1,1,Bigham2014diffexprgenes
Cyclin,1,Bigham2014diffexprgenes
D,1,Bigham2014diffexprgenes
DGKD,1,Bigham2014diffexprgenes
GAD,1,Bigham2014diffexprgenes
GAD2,1,Bigham2014diffexprgenes
GDNF,1,Bigham2014diffexprgenes
GRB14,1,Bigham2014diffexprgenes
HLA-DQ,1,Bigham2014diffexprgenes
KLF15,1,Bigham2014diffexprgenes
MEF2,1,Bigham2014diffexprgenes
mir-133,1,Bigham2014diffexprgenes
N-cor,1,Bigham2014diffexprgenes
Nfat,1,Bigham2014diffexprgenes
Nr1,1,Bigham2014diffexprgenes
h,1,Bigham2014diffexprgenes
PTF1A,1,Bigham2014diffexprgenes
Rxr,1,Bigham2014diffexprgenes
SIM1,1,Bigham2014diffexprgenes
SLC32A1,1,Bigham2014diffexprgenes
SPOCD1,1,Bigham2014diffexprgenes
TCL1A,1,Bigham2014diffexprgenes
WRB,1,Bigham2014diffexprgenes
ACSL1,1,Bigham2014diffexprgenes
Caspase,1,Bigham2014diffexprgenes
7,1,Bigham2014diffexprgenes
Cbp,1,Bigham2014diffexprgenes
p300,1,Bigham2014diffexprgenes
CD226,1,Bigham2014diffexprgenes
CDC42EP5,1,Bigham2014diffexprgenes
DEFB114,1,Bigham2014diffexprgenes
ERK1,1,Bigham2014diffexprgenes
2,1,Bigham2014diffexprgenes
HOOK2,1,Bigham2014diffexprgenes
Igf,1,Bigham2014diffexprgenes
mir-181,1,Bigham2014diffexprgenes
MYOG,1,Bigham2014diffexprgenes
Nectin,1,Bigham2014diffexprgenes
PNMA1,1,Bigham2014diffexprgenes
RGS5,1,Bigham2014diffexprgenes
Smad1,1,Bigham2014diffexprgenes
5,1,Bigham2014diffexprgenes
8,1,Bigham2014diffexprgenes
Smad2,1,Bigham2014diffexprgenes
SPTLC1,1,Bigham2014diffexprgenes
TOM1L1,1,Bigham2014diffexprgenes
TP53RK,1,Bigham2014diffexprgenes
ZMYND11,1,Bigham2014diffexprgenes
ATG4C,1,Bigham2014diffexprgenes
ADAMTS4,1,Bigham2014diffexprgenes
Alpha,1,Bigham2014diffexprgenes
actinin,1,Bigham2014diffexprgenes
catenin,1,Bigham2014diffexprgenes
BRK1,1,Bigham2014diffexprgenes
CHRNA2,1,Bigham2014diffexprgenes
COL1A2,1,Bigham2014diffexprgenes
Collagen,1,Bigham2014diffexprgenes
type,1,Bigham2014diffexprgenes
I,1,Bigham2014diffexprgenes
III,1,Bigham2014diffexprgenes
CTNNA1,1,Bigham2014diffexprgenes
CTTNBP2,1,Bigham2014diffexprgenes
ERK,1,Bigham2014diffexprgenes
IL3RA,1,Bigham2014diffexprgenes
KIF9,1,Bigham2014diffexprgenes
LAMTOR3,1,Bigham2014diffexprgenes
NCKAP1,1,Bigham2014diffexprgenes
NRG,1,Bigham2014diffexprgenes
Ppp2c,1,Bigham2014diffexprgenes
